 0.00000000e+00  2.28305929e-10 
 5.00000000e-02  1.06853534e-09 
 1.00000000e-01  5.04292730e-09 
 1.50000000e-01  2.37987624e-08 
 2.00000000e-01  1.09638474e-07 
 2.50000000e-01  4.53948522e-07 
 3.00000000e-01  1.45542209e-06 
 3.50000000e-01  3.47164964e-06 
 4.00000000e-01  6.74233702e-06 
 4.50000000e-01  1.14822530e-05 
 5.00000000e-01  1.78462465e-05 
 5.50000000e-01  2.59145695e-05 
 6.00000000e-01  3.57024421e-05 
 6.50000000e-01  4.71735246e-05 
 7.00000000e-01  6.02526588e-05 
 7.50000000e-01  7.48371699e-05 
 8.00000000e-01  9.08065485e-05 
 8.50000000e-01  1.08030421e-04 
 9.00000000e-01  1.26374799e-04 
 9.50000000e-01  1.45706722e-04 
 1.00000000e+00  1.65897465e-04 
 1.05000000e+00  1.86824578e-04 
 1.10000000e+00  2.08372986e-04 
 1.15000000e+00  2.30435412e-04 
 1.20000000e+00  2.52912313e-04 
